file,title,persistent_url
Social Sciences Building.csv,Social Science Building. Duluth Campus. Construction,http://purl.umn.edu/228672
Social Sciences Building.csv,"Students gathering on campus with a sign, ""U of M on Strike""",http://purl.umn.edu/80776
Social Sciences Building.csv,"Campus Views. Mpls. West. Construction of Social Sciences Tower, Business Administration Tower.",http://purl.umn.edu/81313
Social Sciences Building.csv,"Campus Views. Mpls. West. Anderson Hall, Social Sciences, Business Administration",http://purl.umn.edu/81279
Social Sciences Building.csv,Campus Views. Minneapolis Campus West.,http://purl.umn.edu/81312
Heller Hall.csv,"Heller, Walter",http://purl.umn.edu/81597
Heller Hall.csv,Campus Views. Minneapolis Campus. West Bank,http://purl.umn.edu/167113
Heller Hall.csv,Campus Views. Minneapolis Campus. West Bank,http://purl.umn.edu/167116
Heller Hall.csv,Business Administration Tower. Heller Hall. Minneapolis Campus,http://purl.umn.edu/166563
Heller Hall.csv,Business Administration Tower. Heller Hall. Minneapolis Campus,http://purl.umn.edu/166542
Humphrey  Center.csv,Hubert H. Humphrey Center. Minneapolis Campus,http://purl.umn.edu/173261
Humphrey  Center.csv,Hubert H. Humphrey Center. Minneapolis Campus,http://purl.umn.edu/173260
Humphrey  Center.csv,Hubert H. Humphrey Center. Minneapolis Campus,http://purl.umn.edu/173263
Humphrey  Center.csv,Hubert H. Humphrey Center. Minneapolis Campus,http://purl.umn.edu/173265
Humphrey  Center.csv,Hubert H. Humphrey Center. Minneapolis Campus,http://purl.umn.edu/173262
